address,bstory_cnt,old,lat,lon,in_flood_area,flood_point_count,height(m),ground_nof,struc,1f_flo,flood_risk_score,flood_risk_level,cluster
서울특별시 강남구 역삼동 778-24번지,1,8,37.4961315,127.0437928,1,2922,18.0,5,6,3.96,24.476286240992128,2,0.0
서울특별시 강남구 역삼동 778-26번지,1,8,37.496192,127.0439814,1,2831,15.1,5,6,3.3220000000000005,23.713759007876657,2,0.0
서울특별시 강남구 역삼동 778-28번지,0,21,37.4960792,127.0441669,1,2710,13.45,5,6,2.959,22.699849170437407,2,0.0
서울특별시 강남구 역삼동 778-29번지,1,8,37.4962311,127.0441114,1,2736,15.09,5,6,3.3198,22.917714094184685,2,0.0
서울특별시 강남구 역삼동 778-30번지,0,11,37.4962722,127.0442452,1,2642,14.2,5,6,3.124,22.13004860063684,2,0.0
서울특별시 강남구 역삼동 788-1번지,1,33,37.4933683,127.0406748,1,3859,13.5,4,6,3.7125,32.32780291603821,2,1.0
서울특별시 강남구 역삼동 788-2번지,2,35,37.4934613,127.0407903,1,3855,26.86,6,6,4.924333333333333,32.29428523546171,2,1.0
서울특별시 강남구 역삼동 788-4번지,1,22,37.4933668,127.0412958,1,3762,14.1,4,6,3.8775,31.51499916205799,2,1.0
서울특별시 강남구 역삼동 788-5번지,1,28,37.49332589999999,127.0411675,1,3776,11.6,4,6,3.19,31.63231104407575,2,1.0
서울특별시 강남구 역삼동 740-1번지,1,34,37.4982019,127.0350981,1,5077,13.0,4,6,3.575,42.53393665158371,3,1.0
서울특별시 강남구 역삼동 740-2번지,1,22,37.4982532,127.0352676,1,5069,20.08,6,6,3.681333333333333,42.46690129043071,3,1.0
서울특별시 강남구 역삼동 740-4번지,1,37,37.4981065,127.0354353,1,4993,10.0,3,6,3.666666666666667,41.830065359477125,3,1.0
서울특별시 강남구 역삼동 740-5번지,1,35,37.497996,127.0350216,1,5029,0.0,5,6,0.0,42.13172448466566,3,2.0
서울특별시 강남구 역삼동 749-26번지,1,24,37.4963915,127.0361766,1,4609,13.2,4,6,3.63,38.612368024132735,2,1.0
서울특별시 강남구 역삼동 749-27번지,0,23,37.4964343,127.0360222,1,4617,13.2,5,6,2.904,38.67940338528574,2,0.0
서울특별시 강남구 역삼동 749-30번지,0,23,37.4955422,127.0356125,1,4578,14.1,5,6,3.102,38.35260599966482,2,0.0
서울특별시 강남구 역삼동 749-31번지,1,29,37.4960203,127.0358294,1,4586,12.6,4,6,3.4650000000000003,38.41964136081783,2,1.0
서울특별시 강남구 역삼동 750번지,1,40,37.4957315,127.0345067,1,4627,0.0,3,6,0.0,38.763197586727,2,2.0
서울특별시 강남구 역삼동 750-1번지,1,43,37.4956487,127.0345716,1,4615,0.0,1,2,0.0,38.66264454499749,2,4.0
서울특별시 강남구 역삼동 750-2번지,1,41,37.4955474,127.0346533,1,4606,0.0,2,6,0.0,38.58722976370036,2,2.0
서울특별시 강남구 역삼동 750-3번지,1,24,37.4957695,127.0346498,1,4621,14.08,5,6,3.0976,38.71292106586225,2,1.0
서울특별시 강남구 역삼동 750-4번지,1,22,37.4956661,127.0347636,1,4608,10.28,3,6,3.769333333333333,38.60398860398861,2,1.0
서울특별시 강남구 역삼동 718-34번지,1,30,37.5004057,127.0394424,1,3928,20.7,5,6,4.554,32.9059829059829,2,1.0
서울특별시 강남구 역삼동 718-35번지,1,46,37.5003219,127.0391772,1,4061,0.0,7,6,0.0,34.020445785151665,2,2.0
서울특별시 강남구 역삼동 719번지,3,20,37.50143,127.0401283,1,3652,60.75,15,6,4.455,30.593262946204124,2,3.0
서울특별시 강남구 역삼동 719-1번지,3,31,37.5015185,127.0402909,1,3581,63.75,16,5,4.3828125,29.998324115971176,2,3.0
서울특별시 강남구 역삼동 719-4번지,4,30,37.5016432,127.0406968,1,3378,43.5,10,6,4.785,28.29730182671359,2,3.0
서울특별시 강남구 역삼동 719-6번지,3,33,37.5017434,127.0410226,1,3236,0.0,10,6,0.0,27.107424166247696,2,2.0
서울특별시 강남구 역삼동 719-8번지,2,33,37.5012513,127.0402202,1,3623,0.0,5,6,0.0,30.350259762024468,2,2.0
서울특별시 강남구 역삼동 719-9번지,1,32,37.5010982,127.0402477,1,3632,10.2,2,6,5.61,30.4256745433216,2,1.0
서울특별시 강남구 역삼동 719-12번지,1,23,37.501185,127.0405207,1,3506,29.7,10,6,3.267,29.36986760516172,2,1.0
서울특별시 강남구 역삼동 719-13번지,1,37,37.5012367,127.0406747,1,3449,14.2,4,6,3.905,28.892240656946537,2,1.0
서울특별시 강남구 역삼동 719-16번지,2,1,37.5014369,127.0408027,1,3366,33.7,13,6,2.851538461538462,28.19674878498408,2,3.0
서울특별시 강남구 역삼동 719-17번지,2,1,37.5012817,127.0408605,1,3347,33.7,13,6,2.851538461538462,28.03753980224569,2,3.0
서울특별시 강남구 역삼동 719-18번지,2,17,37.5013328,127.0410254,1,3277,29.9,10,6,3.289,27.450980392156865,2,1.0
서울특별시 강남구 역삼동 685-5번지,1,29,37.50783020000001,127.042275,1,1245,10.55,3,6,3.868333333333334,10.423998659292778,1,1.0
서울특별시 강남구 역삼동 685-6번지,1,29,37.5079577,127.0422238,1,1247,10.55,3,6,3.868333333333334,10.44075749958103,1,1.0
서울특별시 강남구 역삼동 685-7번지,1,21,37.508171,127.0421811,1,1244,11.75,4,6,3.23125,10.41561923914865,1,1.0
서울특별시 강남구 역삼동 685-8번지,1,29,37.5080087,127.0423952,1,1186,10.2,3,6,3.74,9.929612870789342,1,1.0
서울특별시 강남구 역삼동 685-9번지,1,28,37.5078852,127.0424631,1,1165,10.2,3,6,3.74,9.753645047762696,1,1.0
서울특별시 강남구 역삼동 685-10번지,1,24,37.5077553,127.0425238,1,1167,14.7,4,6,4.0425,9.770403888050948,1,1.0
서울특별시 강남구 역삼동 685-11번지,1,29,37.5077968,127.0426657,1,1138,10.0,3,6,3.666666666666667,9.527400703871292,1,1.0
서울특별시 강남구 역삼동 694-24번지,1,24,37.5071172,127.0462463,1,529,12.3,3,6,4.510000000000001,4.424333836098542,1,1.0
서울특별시 강남구 역삼동 694-25번지,1,20,37.507025,127.0463954,1,526,20.8,6,6,3.813333333333334,4.399195575666164,1,1.0
서울특별시 강남구 역삼동 694-29번지,1,37,37.5072718,127.0462819,1,519,21.6,6,6,3.96,4.340539634657283,1,1.0
서울특별시 강남구 역삼동 694-30번지,1,7,37.5073847,127.0460982,1,521,22.05,6,6,4.0425,4.357298474945534,1,0.0
서울특별시 강남구 역삼동 694-34번지,1,34,37.50759170000001,127.0457613,1,571,13.2,4,6,3.63,4.776269482151836,1,1.0
서울특별시 강남구 역삼동 694-35번지,2,8,37.50767889999999,127.0456194,1,610,20.2,6,6,3.7033333333333336,5.103066867772751,1,0.0
서울특별시 강남구 역삼동 653-6번지,1,1,37.5081093,127.0375244,1,2960,20.8,6,6,3.813333333333334,24.794704206468914,2,0.0
서울특별시 강남구 역삼동 663-14번지,1,29,37.50596660000001,127.0395505,1,2604,10.2,3,6,3.74,21.811630635160046,2,1.0
서울특별시 강남구 역삼동 663-15번지,1,33,37.5061284,127.0396838,1,2564,17.9,6,6,3.2816666666666663,21.47645382939501,2,1.0
서울특별시 강남구 역삼동 663-16번지,1,28,37.5060077,127.0397231,1,2556,10.2,3,6,3.74,21.409418468242,2,1.0
서울특별시 강남구 역삼동 663-18번지,1,23,37.5060651,127.0399335,1,2486,15.6,5,6,3.4320000000000004,20.822859058153178,2,1.0
