대지위치,세대수,가구수,노후화
서울특별시 강남구 역삼동 716-3,0,0,13
서울특별시 강남구 역삼동 716-3,0,0,13
서울특별시 강남구 자곡동 618,12,0,11
서울특별시 강남구 역삼동 790-9,19,0,4
서울특별시 강남구 역삼동 900,72,0,4
서울특별시 강남구 신사동 557-2,0,1,50
서울특별시 강남구 논현동 33-6,0,0,1
서울특별시 강남구 도곡동 518-11,0,1,28
서울특별시 강남구 논현동 104-26,0,11,29
서울특별시 강남구 도곡동 411-6,0,0,33
서울특별시 강남구 일원동 629-9,0,1,39
서울특별시 강남구 삼성동 9-25,0,0,34
서울특별시 강남구 논현동 33-2,0,1,29
서울특별시 강남구 신사동 614-7,0,0,47
서울특별시 강남구 역삼동 788-22,8,0,15
서울특별시 강남구 역삼동 834-18,14,0,15
서울특별시 강남구 세곡동 508,0,0,14
서울특별시 강남구 자곡동 687,41,0,11
서울특별시 강남구 자곡동 687,64,0,11
서울특별시 강남구 자곡동 686,0,0,11
서울특별시 강남구 세곡동 579,84,0,12
서울특별시 강남구 대치동 934-8,15,0,7
서울특별시 강남구 세곡동 511,46,0,14
서울특별시 강남구 대치동 914-12,16,0,14
서울특별시 강남구 세곡동 525,0,0,14
서울특별시 강남구 역삼동 696-13,10,0,13
서울특별시 강남구 청담동 112-8,9,0,8
서울특별시 강남구 개포동 1206,15,0,8
서울특별시 강남구 청담동 114-9,8,0,6
서울특별시 강남구 삼성동 29-12,7,0,6
서울특별시 강남구 청담동 124-12,16,0,11
서울특별시 강남구 역삼동 791-15,72,0,7
서울특별시 강남구 역삼동 709-5,83,0,11
서울특별시 강남구 논현동 76-10,0,0,1
서울특별시 강남구 청담동 64-1,18,0,6
서울특별시 강남구 자곡동 602,90,0,11
서울특별시 강남구 자곡동 602,0,0,11
서울특별시 강남구 개포동 1281,0,0,6
서울특별시 강남구 대치동 1027,50,0,10
서울특별시 강남구 논현동 73-3,0,0,1
서울특별시 강남구 역삼동 774-43,0,0,31
서울특별시 강남구 논현동 16-40,0,0,35
서울특별시 강남구 개포동 1231-18,0,0,27
서울특별시 강남구 논현동 136-14,8,0,4
서울특별시 강남구 개포동 651-1,0,0,4
서울특별시 강남구 일원동 649-10,5,0,4
서울특별시 강남구 논현동 40,0,0,3
서울특별시 강남구 율현동 309-22,3,0,3
서울특별시 강남구 개포동 1262-5,14,0,8
서울특별시 강남구 대치동 916-18,12,0,23
서울특별시 강남구 역삼동 708-20,0,0,20
서울특별시 강남구 역삼동 667-17,0,6,23
서울특별시 강남구 대치동 1030,0,0,4
서울특별시 강남구 자곡동 수서역세권 택지개발사업 내,0,0,2
서울특별시 강남구 논현동 110-25,0,0,6
서울특별시 강남구 신사동 608-17,0,0,15
서울특별시 강남구 삼성동 129-16,0,0,1
서울특별시 강남구 역삼동 754,44,0,19
서울특별시 강남구 역삼동 713-11,74,0,19
서울특별시 강남구 삼성동 58-2,0,0,11
서울특별시 강남구 대치동 66,90,0,42
서울특별시 강남구 삼성동 163,0,0,20
서울특별시 강남구 대치동 448,0,0,41
서울특별시 강남구 신사동 626-70,0,0,22
서울특별시 강남구 역삼동 736-55,0,0,19
서울특별시 강남구 일원동 643-1,0,0,35
서울특별시 강남구 논현동 188-21,0,0,34
서울특별시 강남구 논현동 187-10,0,9,29
서울특별시 강남구 삼성동 143-4,0,0,33
서울특별시 강남구 논현동 272-3,0,1,23
서울특별시 강남구 역삼동 688-4,0,0,27
서울특별시 강남구 수서동 741,0,0,30
서울특별시 강남구 개포동 1164-1,0,0,35
서울특별시 강남구 삼성동 96-16,3,0,37
서울특별시 강남구 역삼동 718-27,0,0,22
서울특별시 강남구 대치동 990-2,0,0,44
서울특별시 강남구 율현동 533,0,0,0
서울특별시 강남구 율현동 534,0,0,0
서울특별시 강남구 역삼동 826-21,0,0,8
서울특별시 강남구 개포동 1199-8,7,0,10
서울특별시 강남구 율현동 365,44,0,10
서울특별시 강남구 율현동 365,0,0,10
서울특별시 강남구 대치동 1027,0,0,10
서울특별시 강남구 삼성동 92-13,0,0,42
서울특별시 강남구 자곡동 687,44,0,11
서울특별시 강남구 도곡동 546-13,11,0,15
서울특별시 강남구 세곡동 525,0,0,14
서울특별시 강남구 대치동 939-2,8,0,14
서울특별시 강남구 논현동 8-6,0,0,35
서울특별시 강남구 개포동 1282,0,0,5
서울특별시 강남구 개포동 1282,0,0,5
서울특별시 강남구 역삼동 751-8,15,0,4
서울특별시 강남구 논현동 173-9,8,0,4
서울특별시 강남구 역삼동 626-15,0,0,45
서울특별시 강남구 역삼동 711-3,0,0,9
서울특별시 강남구 역삼동 656-4,12,0,8
서울특별시 강남구 역삼동 725-24,0,0,18
서울특별시 강남구 역삼동 616-6,0,0,22
서울특별시 강남구 도곡동 538-3,60,0,9
서울특별시 강남구 청담동 134-38,166,0,14
서울특별시 강남구 역삼동 784-13,16,0,13
서울특별시 강남구 논현동 137-1,23,0,12
서울특별시 강남구 논현동 154-1,24,0,12
