대지위치,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률(%),구조,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),노후화,위도,경도
서울특별시 강남구 역삼동 788-5번지,260.4,151.6,58.22,647.8,212.84,7,0,19,11.6,4,1,0,0,0,0.0,647.8,28,37.49332589999999,127.0411675
서울특별시 강남구 역삼동 740-1번지,347.6,171.39,49.31,893.52,189.74,7,0,0,13.0,4,1,0,0,0,0.0,893.52,34,37.4982019,127.0350981
서울특별시 강남구 역삼동 740-2번지,347.9,205.74,59.14,1198.23,291.72,7,0,0,20.08,6,1,1,0,0,0.0,1198.23,22,37.4982532,127.0352676
서울특별시 강남구 역삼동 740-4번지,617.1,242.74,39.34,970.96,118.01,7,9,0,10.0,3,1,0,0,0,0.0,970.96,37,37.4981065,127.0354353
서울특별시 강남구 역삼동 740-5번지,0.0,301.17,0.0,1777.2,0.0,7,0,0,0.0,5,1,0,0,0,0.0,1777.2,35,37.497996,127.0350216
서울특별시 강남구 역삼동 749-26번지,162.7,97.41,59.87,473.1,231.41,7,0,9,13.2,4,1,0,0,0,0.0,473.1,24,37.4963915,127.0361766
서울특별시 강남구 역삼동 749-27번지,164.3,98.3,59.83,376.16,228.95,7,9,0,13.2,5,0,0,0,0,0.0,376.16,23,37.4964343,127.0360222
서울특별시 강남구 역삼동 749-30번지,201.9,120.56,59.71,489.47,218.89,7,7,0,14.1,5,0,0,0,0,0.0,489.47,23,37.4955422,127.0356125
서울특별시 강남구 역삼동 749-31번지,227.4,132.03,58.06,481.8,153.81,7,0,13,12.6,4,1,0,0,0,0.0,481.8,29,37.4960203,127.0358294
서울특별시 강남구 역삼동 750번지,0.0,44.79,0.0,181.54,0.0,7,0,1,0.0,3,1,0,0,0,0.0,181.54,40,37.4957315,127.0345067
서울특별시 강남구 역삼동 750-1번지,0.0,89.69,0.0,194.23,0.0,2,0,1,0.0,1,1,0,0,0,0.0,194.23,43,37.4956487,127.0345716
서울특별시 강남구 역삼동 750-2번지,0.0,107.28,0.0,312.84,0.0,7,0,1,0.0,2,1,0,0,0,0.0,312.84,41,37.4955474,127.0346533
서울특별시 강남구 역삼동 750-3번지,200.5,119.86,59.78,462.7,222.17,7,0,11,14.08,5,1,0,0,0,0.0,462.7,24,37.4957695,127.0346498
서울특별시 강남구 역삼동 750-4번지,251.2,150.64,59.97,560.96,165.65,7,0,12,10.28,3,1,0,0,0,0.0,560.96,22,37.4956661,127.0347636
서울특별시 강남구 역삼동 718-34번지,352.2,201.96,57.34,1258.38,285.35,7,0,0,20.7,5,1,1,0,0,0.0,1258.38,30,37.5004057,127.0394424
서울특별시 강남구 역삼동 718-35번지,713.4,392.69,55.05,2429.97,292.59,7,0,0,0.0,7,1,0,0,0,0.0,2429.97,46,37.5003219,127.0391772
서울특별시 강남구 역삼동 719번지,626.5,374.7,59.81,6264.62,787.12,7,0,0,60.75,15,3,2,0,0,0.0,6264.62,20,37.50143,127.0401283
서울특별시 강남구 역삼동 719-1번지,1452.0,866.25,59.66,14457.58,796.21,6,0,0,63.75,16,3,2,1,0,0.0,14457.58,31,37.5015185,127.0402909
서울특별시 강남구 역삼동 719-4번지,559.4,344.26,61.54,4546.28,581.81,7,0,0,43.5,10,4,2,0,0,0.0,4546.28,30,37.5016432,127.0406968
서울특별시 강남구 역삼동 719-6번지,557.0,331.17,59.456,4503.08,593.106,7,0,0,0.0,10,3,0,0,0,0.0,4503.08,33,37.5017434,127.0410226
서울특별시 강남구 역삼동 719-8번지,396.2,231.2,58.35,1539.64,282.23,7,0,0,0.0,5,2,0,0,0,0.0,1539.64,33,37.5012513,127.0402202
서울특별시 강남구 역삼동 719-9번지,396.0,234.3,59.17,730.31,118.33,7,0,0,10.2,2,1,0,0,0,0.0,730.31,32,37.5010982,127.0402477
서울특별시 강남구 역삼동 719-12번지,271.1,162.4,59.9,1768.0,548.65,7,0,0,29.7,10,1,1,0,0,0.0,1768.0,23,37.501185,127.0405207
서울특별시 강남구 역삼동 719-13번지,228.7,111.48,48.75,559.98,194.98,7,0,0,14.2,4,1,0,0,0,0.0,559.98,37,37.5012367,127.0406747
서울특별시 강남구 역삼동 719-16번지,249.7,149.66,59.94,1990.58,708.09,7,0,0,33.7,13,2,1,0,0,0.0,1990.58,1,37.5014369,127.0408027
서울특별시 강남구 역삼동 719-17번지,249.7,149.38,59.82,1979.62,701.77,7,0,0,33.7,13,2,1,0,0,0.0,1979.62,1,37.5012817,127.0408605
서울특별시 강남구 역삼동 719-18번지,273.2,161.38,59.07,1975.2,570.92,7,0,0,29.9,10,2,2,0,0,0.0,1975.2,17,37.5013328,127.0410254
서울특별시 강남구 역삼동 685-5번지,208.0,119.96,57.67,411.12,142.7,7,0,7,10.55,3,1,0,0,0,0.0,411.12,29,37.50783020000001,127.042275
서울특별시 강남구 역삼동 685-6번지,226.8,114.36,50.42,411.85,131.17,7,0,9,10.55,3,1,0,0,0,0.0,411.85,29,37.5079577,127.0422238
서울특별시 강남구 역삼동 685-7번지,390.7,233.73,59.82,1160.68,222.64,7,10,0,11.75,4,1,0,0,0,0.0,1160.68,21,37.508171,127.0421811
서울특별시 강남구 역삼동 685-8번지,222.3,131.93,59.35,420.77,140.49,7,0,7,10.2,3,1,0,0,0,0.0,420.77,29,37.5080087,127.0423952
서울특별시 강남구 역삼동 685-9번지,201.5,113.17,56.16,419.9,153.55,7,0,7,10.2,3,1,0,0,0,0.0,419.9,28,37.5078852,127.0424631
서울특별시 강남구 역삼동 685-10번지,214.5,127.95,59.65,549.9,197.43,7,14,0,14.7,4,1,0,0,0,0.0,549.9,24,37.5077553,127.0425238
