lon,lat,geometry,in_gangnam
127.0311161091609,37.507301555867,POINT (127.0311161091609 37.507301555867),True
127.03109503666006,37.50724528013996,POINT (127.03109503666006 37.50724528013996),True
127.03108126517348,37.50723076226699,POINT (127.03108126517348 37.50723076226699),True
127.03107981232786,37.5072292309408,POINT (127.03107981232786 37.5072292309408),True
127.03096662423272,37.50723079237595,POINT (127.03096662423272 37.50723079237595),True
127.03094442407236,37.507245319691,POINT (127.03094442407236 37.507245319691),True
127.0309157751662,37.50730160846854,POINT (127.0309157751662 37.50730160846854),True
127.03089853901568,37.50733547274519,POINT (127.03089853901568 37.50733547274519),True
127.03090785399364,37.50737389186307,POINT (127.03090785399364 37.50737389186307),True
127.0309088679696,37.50737807406279,POINT (127.0309088679696 37.50737807406279),True
127.03092039331436,37.50742560806814,POINT (127.03092039331436 37.50742560806814),True
127.03096671753796,37.50745667159407,POINT (127.03096671753796 37.50745667159407),True
127.03099764908173,37.50742558782037,POINT (127.03099764908173 37.50742558782037),True
127.0310354711176,37.50740371139994,POINT (127.0310354711176 37.50740371139994),True
127.03107987401737,37.50737802919307,POINT (127.03107987401737 37.50737802919307),True
127.03108467567124,37.50737384546456,POINT (127.03108467567124 37.50737384546456),True
127.031128785966,37.50733541229386,POINT (127.031128785966 37.50733541229386),True
127.0311161091609,37.507301555867,POINT (127.0311161091609 37.507301555867),True
127.02427087248196,37.50789303149904,POINT (127.02427087248196 37.50789303149904),True
127.02423623023974,37.50787787469943,POINT (127.02423623023974 37.50787787469943),True
127.02423203488542,37.50787307770904,POINT (127.02423203488542 37.50787307770904),True
127.02418224960118,37.50781614800551,POINT (127.02418224960118 37.50781614800551),True
127.02417809498544,37.50781139785706,POINT (127.02417809498544 37.50781139785706),True
127.0241754926936,37.50780842237046,POINT (127.0241754926936 37.50780842237046),True
127.0241264452763,37.50778775523668,POINT (127.0241264452763 37.50778775523668),True
127.02406229013955,37.50776811560348,POINT (127.02406229013955 37.50776811560348),True
127.02405091983144,37.50776034585066,POINT (127.02405091983144 37.50776034585066),True
127.02399113723176,37.50771949473145,POINT (127.02399113723176 37.50771949473145),True
127.02395916783254,37.50769764824668,POINT (127.02395916783254 37.50769764824668),True
127.02395582483555,37.50765957786231,POINT (127.02395582483555 37.50765957786231),True
127.02395125135337,37.507607508813365,POINT (127.02395125135337 37.507607508813365),True
127.02394905017422,37.50760678304967,POINT (127.02394905017422 37.50760678304967),True
127.02394585869357,37.50760750990667,POINT (127.02394585869357 37.50760750990667),True
127.02394212954032,37.50765997167511,POINT (127.02394212954032 37.50765997167511),True
127.02393945089636,37.50769765224422,POINT (127.02393945089636 37.50769765224422),True
127.0239148308886,37.507768145549335,POINT (127.0239148308886 37.507768145549335),True
127.02390796625056,37.50778779965815,POINT (127.02390796625056 37.50778779965815),True
127.02390851882149,37.50780397979255,POINT (127.02390851882149 37.50780397979255),True
127.02390867294255,37.50780847667684,POINT (127.02390867294255 37.50780847667684),True
127.02390945270297,37.50783129536937,POINT (127.02390945270297 37.50783129536937),True
127.02390960226587,37.507835685035,POINT (127.02390960226587 37.507835685035),True
