대지위치,지하층수,노후화,위도,경도,in_flood_area,flood_point_count,높이(m),지상층수,구조
서울특별시 강남구 역삼동 660-23번지,1,23,37.5056878,127.0370893,1,3301,10.2,3,7
서울특별시 강남구 역삼동 660-24번지,1,24,37.5055713,127.0371451,1,3231,9.2,3,7
서울특별시 강남구 역삼동 622-4번지,2,22,37.5030742,127.0295162,1,4628,7.9,2,7
서울특별시 강남구 역삼동 622-5번지,1,43,37.5031725,127.0293511,1,4563,0.0,2,2
서울특별시 강남구 역삼동 622-6번지,1,47,37.5032508,127.0292134,1,4519,0.0,2,2
서울특별시 강남구 역삼동 622-7번지,2,4,37.5033338,127.0290702,1,4491,10.4,2,7
서울특별시 강남구 역삼동 622-8번지,1,47,37.5031812,127.0290038,1,4504,0.0,2,2
서울특별시 강남구 역삼동 622-8번지,1,47,37.5031812,127.0290038,1,4504,0.0,2,7
서울특별시 강남구 역삼동 622-10번지,1,36,37.5029093,127.0294112,1,4656,7.5,2,2
서울특별시 강남구 역삼동 622-11번지,1,8,37.5027231,127.0292364,1,4644,9.61,2,7
서울특별시 강남구 역삼동 622-12번지,1,13,37.5027909,127.0291108,1,4609,7.62,2,7
서울특별시 강남구 역삼동 622-13번지,1,47,37.5028569,127.0289927,1,4580,0.0,2,2
서울특별시 강남구 역삼동 622-14번지,1,47,37.5029356,127.0287861,1,4517,6.0,2,2
서울특별시 강남구 역삼동 622-15번지,2,24,37.5028094,127.0286762,1,4518,6.0,2,7
서울특별시 강남구 역삼동 622-16번지,1,42,37.5026906,127.0288721,1,4589,0.0,2,2
서울특별시 강남구 역삼동 622-17번지,0,29,37.5026067,127.0290214,1,4637,4.95,1,2
서울특별시 강남구 역삼동 778-19번지,0,4,37.4958132,127.0437511,1,2961,15.8,5,7
서울특별시 강남구 역삼동 778-20번지,1,27,37.4956743,127.0438167,1,2933,11.3,4,7
서울특별시 강남구 역삼동 778-22번지,0,22,37.4958645,127.0439174,1,2871,13.1,5,7
서울특별시 강남구 역삼동 778-23번지,0,12,37.4959942,127.0438568,1,2909,13.1,5,7
서울특별시 강남구 역삼동 778-24번지,1,8,37.4961315,127.0437928,1,2922,18.0,5,7
서울특별시 강남구 역삼동 778-26번지,1,8,37.496192,127.0439814,1,2831,15.1,5,7
서울특별시 강남구 역삼동 778-28번지,0,21,37.4960792,127.0441669,1,2710,13.45,5,7
서울특별시 강남구 역삼동 778-29번지,1,8,37.4962311,127.0441114,1,2736,15.09,5,7
서울특별시 강남구 역삼동 778-30번지,0,11,37.4962722,127.0442452,1,2642,14.2,5,7
서울특별시 강남구 역삼동 788-1번지,1,33,37.4933683,127.0406748,1,3859,13.5,4,7
서울특별시 강남구 역삼동 788-2번지,2,35,37.4934613,127.0407903,1,3855,26.86,6,7
서울특별시 강남구 역삼동 788-4번지,1,22,37.4933668,127.0412958,1,3762,14.1,4,7
서울특별시 강남구 역삼동 788-5번지,1,28,37.49332589999999,127.0411675,1,3776,11.6,4,7
서울특별시 강남구 역삼동 740-1번지,1,34,37.4982019,127.0350981,1,5077,13.0,4,7
서울특별시 강남구 역삼동 740-2번지,1,22,37.4982532,127.0352676,1,5069,20.08,6,7
서울특별시 강남구 역삼동 740-4번지,1,37,37.4981065,127.0354353,1,4993,10.0,3,7
서울특별시 강남구 역삼동 740-5번지,1,35,37.497996,127.0350216,1,5029,0.0,5,7
서울특별시 강남구 역삼동 749-26번지,1,24,37.4963915,127.0361766,1,4609,13.2,4,7
서울특별시 강남구 역삼동 749-27번지,0,23,37.4964343,127.0360222,1,4617,13.2,5,7
서울특별시 강남구 역삼동 749-30번지,0,23,37.4955422,127.0356125,1,4578,14.1,5,7
서울특별시 강남구 역삼동 749-31번지,1,29,37.4960203,127.0358294,1,4586,12.6,4,7
서울특별시 강남구 역삼동 750번지,1,40,37.4957315,127.0345067,1,4627,0.0,3,7
서울특별시 강남구 역삼동 750-1번지,1,43,37.4956487,127.0345716,1,4615,0.0,1,2
서울특별시 강남구 역삼동 750-2번지,1,41,37.4955474,127.0346533,1,4606,0.0,2,7
서울특별시 강남구 역삼동 750-3번지,1,24,37.4957695,127.0346498,1,4621,14.08,5,7
서울특별시 강남구 역삼동 750-4번지,1,22,37.4956661,127.0347636,1,4608,10.28,3,7
서울특별시 강남구 역삼동 718-34번지,1,30,37.5004057,127.0394424,1,3928,20.7,5,7
서울특별시 강남구 역삼동 718-35번지,1,46,37.5003219,127.0391772,1,4061,0.0,7,7
서울특별시 강남구 역삼동 719번지,3,20,37.50143,127.0401283,1,3652,60.75,15,7
서울특별시 강남구 역삼동 719-1번지,3,31,37.5015185,127.0402909,1,3581,63.75,16,6
서울특별시 강남구 역삼동 719-4번지,4,30,37.5016432,127.0406968,1,3378,43.5,10,7
서울특별시 강남구 역삼동 719-6번지,3,33,37.5017434,127.0410226,1,3236,0.0,10,7
서울특별시 강남구 역삼동 719-8번지,2,33,37.5012513,127.0402202,1,3623,0.0,5,7
서울특별시 강남구 역삼동 719-9번지,1,32,37.5010982,127.0402477,1,3632,10.2,2,7
서울특별시 강남구 역삼동 719-12번지,1,23,37.501185,127.0405207,1,3506,29.7,10,7
서울특별시 강남구 역삼동 719-13번지,1,37,37.5012367,127.0406747,1,3449,14.2,4,7
서울특별시 강남구 역삼동 719-16번지,2,1,37.5014369,127.0408027,1,3366,33.7,13,7
서울특별시 강남구 역삼동 719-17번지,2,1,37.5012817,127.0408605,1,3347,33.7,13,7
서울특별시 강남구 역삼동 719-18번지,2,17,37.5013328,127.0410254,1,3277,29.9,10,7
서울특별시 강남구 역삼동 685-5번지,1,29,37.50783020000001,127.042275,1,1245,10.55,3,7
서울특별시 강남구 역삼동 685-6번지,1,29,37.5079577,127.0422238,1,1247,10.55,3,7
서울특별시 강남구 역삼동 685-7번지,1,21,37.508171,127.0421811,1,1244,11.75,4,7
서울특별시 강남구 역삼동 685-8번지,1,29,37.5080087,127.0423952,1,1186,10.2,3,7
서울특별시 강남구 역삼동 685-9번지,1,28,37.5078852,127.0424631,1,1165,10.2,3,7
서울특별시 강남구 역삼동 685-10번지,1,24,37.5077553,127.0425238,1,1167,14.7,4,7
서울특별시 강남구 역삼동 685-11번지,1,29,37.5077968,127.0426657,1,1138,10.0,3,7
서울특별시 강남구 역삼동 694-24번지,1,24,37.5071172,127.0462463,1,529,12.3,3,7
서울특별시 강남구 역삼동 694-25번지,1,20,37.507025,127.0463954,1,526,20.8,6,7
서울특별시 강남구 역삼동 694-29번지,1,37,37.5072718,127.0462819,1,519,21.6,6,7
서울특별시 강남구 역삼동 694-30번지,1,7,37.5073847,127.0460982,1,521,22.05,6,7
서울특별시 강남구 역삼동 694-34번지,1,34,37.50759170000001,127.0457613,1,571,13.2,4,7
서울특별시 강남구 역삼동 694-35번지,2,8,37.50767889999999,127.0456194,1,610,20.2,6,7
서울특별시 강남구 역삼동 653-6번지,1,1,37.5081093,127.0375244,1,2960,20.8,6,7
서울특별시 강남구 역삼동 663-14번지,1,29,37.50596660000001,127.0395505,1,2604,10.2,3,7
서울특별시 강남구 역삼동 663-15번지,1,33,37.5061284,127.0396838,1,2564,17.9,6,7
서울특별시 강남구 역삼동 663-16번지,1,28,37.5060077,127.0397231,1,2556,10.2,3,7
서울특별시 강남구 역삼동 663-18번지,1,23,37.5060651,127.0399335,1,2486,15.6,5,7
서울특별시 강남구 역삼동 663-21번지,0,24,37.5055655,127.0386527,1,2784,10.2,4,7
서울특별시 강남구 역삼동 663-22번지,1,30,37.5054606,127.0387112,1,2790,10.1,3,7
서울특별시 강남구 역삼동 663-23번지,1,28,37.5056306,127.038828,1,2753,9.2,3,7
서울특별시 강남구 역삼동 663-24번지,0,25,37.5055163,127.0388814,1,2763,12.0,5,7
서울특별시 강남구 역삼동 663-25번지,1,28,37.5056118,127.0390209,1,2722,14.0,4,5
서울특별시 강남구 역삼동 663-26번지,0,21,37.5056575,127.0391735,1,2693,14.1,5,7
서울특별시 강남구 역삼동 663-27번지,1,34,37.5057019,127.039326,1,2662,9.6,3,7
서울특별시 강남구 역삼동 663-28번지,1,34,37.505748,127.0394786,1,2646,10.2,3,7
서울특별시 강남구 역삼동 625-8번지,1,39,37.5038701,127.0318522,1,4665,0.0,2,2
서울특별시 강남구 역삼동 625-9번지,1,24,37.503087,127.0318931,1,5004,9.25,2,7
서울특별시 강남구 역삼동 625-10번지,2,14,37.5031451,127.0320848,1,5000,8.55,2,7
서울특별시 강남구 역삼동 625-11번지,1,35,37.50319460000001,127.032251,1,4994,8.95,2,2
서울특별시 강남구 역삼동 625-12번지,1,36,37.50355,127.0323135,1,4856,9.14,2,7
서울특별시 강남구 역삼동 625-15번지,1,14,37.5032468,127.0324259,1,4987,11.73,2,7
서울특별시 강남구 역삼동 625-16번지,1,35,37.5032237,127.0323484,1,4989,8.95,2,2
서울특별시 강남구 역삼동 625-20번지,3,1,37.5034083,127.0318656,1,4891,10.4,2,7
서울특별시 강남구 역삼동 625-32번지,1,14,37.5032759,127.0325233,1,4988,11.75,2,7
서울특별시 강남구 역삼동 626번지,1,45,37.5046077,127.0321242,1,4544,0.0,2,2
서울특별시 강남구 역삼동 638-10번지,1,25,37.502201,127.0334057,1,5225,11.75,4,7
서울특별시 강남구 역삼동 638-11번지,1,30,37.5021467,127.033227,1,5263,0.0,3,7
서울특별시 강남구 역삼동 638-12번지,1,2,37.5021087,127.0330625,1,5245,16.95,5,7
서울특별시 강남구 역삼동 781-18번지,0,7,37.4950388,127.0424553,1,3430,18.6,6,7
서울특별시 강남구 역삼동 781-20번지,1,34,37.4950967,127.042643,1,3360,12.65,4,7
서울특별시 강남구 역삼동 781-21번지,1,29,37.4951478,127.0427929,1,3312,10.75,3,7
서울특별시 강남구 역삼동 791-11번지,0,21,37.4944307,127.0379459,1,4347,13.3,5,7
서울특별시 강남구 역삼동 791-12번지,1,29,37.4943289,127.0380507,1,4325,11.4,4,7
서울특별시 강남구 역삼동 791-13번지,1,29,37.494369,127.0382089,1,4314,9.7,3,7
서울특별시 강남구 역삼동 791-14번지,1,30,37.4943975,127.0383667,1,4301,9.1,3,7
서울특별시 강남구 역삼동 791-15번지,2,7,37.4944278,127.0386818,1,4267,27.46,8,7
서울특별시 강남구 역삼동 791-16번지,1,29,37.4942493,127.0384522,1,4273,10.2,3,7
서울특별시 강남구 역삼동 791-17번지,1,29,37.4942316,127.0383242,1,4284,10.2,3,7
서울특별시 강남구 역삼동 791-18번지,1,29,37.494198,127.0381913,1,4290,10.2,3,7
서울특별시 강남구 역삼동 791-19번지,1,28,37.4940456,127.0383796,1,4261,12.4,4,7
서울특별시 강남구 역삼동 791-20번지,0,23,37.49407739999999,127.0385279,1,4244,13.35,5,7
서울특별시 강남구 역삼동 742-14번지,1,9,37.4962599,127.0347199,1,4725,13.4,5,7
서울특별시 강남구 역삼동 742-15번지,0,18,37.4962346,127.0346358,1,4726,8.53,2,5
서울특별시 강남구 역삼동 742-16번지,1,1,37.4962021,127.0345293,1,4735,20.75,5,7
서울특별시 강남구 역삼동 742-18번지,1,21,37.496124,127.0342731,1,4743,15.65,5,7
서울특별시 강남구 역삼동 742-19번지,1,37,37.4959474,127.034409,1,4694,0.0,2,2
서울특별시 강남구 역삼동 742-19번지,1,37,37.4959474,127.034409,1,4694,0.0,2,2
서울특별시 강남구 역삼동 742-20번지,0,4,37.4958439,127.0342844,1,4682,15.85,5,7
서울특별시 강남구 역삼동 742-21번지,1,17,37.4960155,127.0341415,1,4735,25.1,7,7
서울특별시 강남구 역삼동 742-22번지,2,24,37.4959595,127.033826,1,4755,17.75,6,5
서울특별시 강남구 역삼동 742-24번지,1,39,37.4958471,127.0340019,1,4712,0.0,2,2
서울특별시 강남구 역삼동 742-25번지,0,23,37.4957534,127.0341403,1,4678,11.6,4,7
서울특별시 강남구 역삼동 752-36번지,1,1,37.4948164,127.0339246,1,4553,22.9,5,7
서울특별시 강남구 역삼동 752-37번지,0,20,37.4947276,127.0338503,1,4544,9.0,3,7
서울특별시 강남구 역삼동 696-41번지,1,21,37.5058307,127.0478164,1,435,13.0,5,7
서울특별시 강남구 역삼동 696-42번지,2,21,37.5056643,127.0479211,1,430,21.4,6,7
서울특별시 강남구 역삼동 704-53번지,1,38,37.5047444,127.0461741,1,856,12.95,4,7
서울특별시 강남구 역삼동 704-54번지,1,34,37.5047412,127.0460345,1,885,16.25,5,7
서울특별시 강남구 역삼동 704-55번지,1,34,37.5047012,127.0459198,1,909,0.0,6,7
서울특별시 강남구 역삼동 704-60번지,0,22,37.5049685,127.0458372,1,886,14.07,5,7
서울특별시 강남구 역삼동 704-62번지,1,39,37.5048227,127.0458093,1,911,0.0,2,2
서울특별시 강남구 역삼동 704-63번지,0,23,37.5048795,127.0456795,1,936,14.45,5,7
서울특별시 강남구 역삼동 704-64번지,0,23,37.5049498,127.0455388,1,944,16.45,5,7
서울특별시 강남구 역삼동 704-68번지,0,12,37.5050071,127.0453537,1,976,12.1,4,7
서울특별시 강남구 역삼동 705번지,2,22,37.5047612,127.0469874,1,676,26.77,8,7
서울특별시 강남구 역삼동 705-1번지,6,33,37.50457979999999,127.0470626,1,677,0.0,17,7
서울특별시 강남구 역삼동 705-5번지,2,22,37.5047953,127.0471829,1,637,33.7,10,7
서울특별시 강남구 역삼동 667-9번지,0,25,37.5043151,127.0359608,1,4034,12.2,5,7
