ground_nof,bstory_cnt,totar,bottom_area,time_unit_rainqty,time_unit_ws,time_unit_wd,spt_frstt_dist,target,구조_기타,구조_벽돌구조,구조_블록구조,구조_일반목구조,구조_일반철골구조,구조_철골철근콘크리트구조,구조_철근콘크리트구조,target_log,target_boxcox
2,1,192.82,65.59,0.0,2.0,20.0,3.3,0.0886,False,True,False,False,False,False,False,0.0848924670179626,0.5848924670179626
1,0,59.31,59.31,0.0,2.0,50.0,5.0,0.0951,False,True,False,False,False,False,False,0.09084568329957643,0.5908456832995764
18,3,53853.0,3437.63,0.0,1.0,180.0,5.1,0.048,False,False,False,False,False,False,True,0.046883585898850416,0.5468835858988504
4,1,1490.6,278.32,0.0,1.0,180.0,1.7,0.0997,False,False,False,False,False,False,True,0.09503741533475171,0.5950374153347517
17,2,7616.77,628.63,0.0,1.0,180.0,5.0,0.1538,False,False,False,False,False,False,True,0.14306084284065199,0.643060842840652
3,1,259.79,76.11,0.0,3.0,270.0,1.7,0.0358,False,False,False,False,False,False,True,0.03517407500765403,0.535174075007654
2,1,147.0,57.0,0.0,3.0,270.0,3.7,0.0898,False,True,False,False,False,False,False,0.08599419316686092,0.585994193166861
5,1,1475.58,239.7,0.0,3.0,270.0,8.5,0.0848,False,False,False,False,False,False,True,0.08139563820399408,0.5813956382039941
4,0,246.11,95.04,0.0,4.0,320.0,1.0,0.0512,False,False,False,False,False,False,True,0.04993236874820901,0.549932368748209
7,1,1910.27,253.12,0.0,4.0,320.0,4.2,0.0627,False,False,False,False,False,False,True,0.06081283939651243,0.5608128393965124
6,0,2142.0,346.77,0.0,4.0,320.0,3.0,0.0634,False,False,False,False,False,False,True,0.06147132208810105,0.561471322088101
3,1,415.96,104.92,0.0,3.0,290.0,1.6,0.0499,False,False,False,False,False,False,True,0.04869492153875855,0.5486949215387585
2,1,427.48,135.44,0.0,3.0,270.0,4.9,0.0678,False,False,False,False,False,False,True,0.0656004570839488,0.5656004570839488
7,1,672.85,130.85,0.0,2.0,250.0,3.5,0.0736,False,False,False,False,False,False,True,0.07101748723528029,0.5710174872352802
3,1,1424.26,361.59,0.0,2.0,250.0,8.2,0.0928,False,False,False,False,False,False,True,0.08874320983438856,0.5887432098343885
6,2,4792.08,561.14,0.0,2.0,270.0,2.0,0.1255,False,False,False,False,False,False,True,0.11822738136464989,0.6182273813646499
1,1,76.3,76.3,0.0,1.0,270.0,6.6,0.0687,False,True,False,False,False,False,False,0.06644295654871397,0.566442956548714
3,1,431.57,123.34,0.0,1.0,270.0,0.6,0.1111,False,False,False,False,False,False,True,0.10535051560782598,0.6053505156078259
15,1,11716.08,738.72,0.0,2.0,250.0,1.7,0.1587,False,False,False,False,False,False,True,0.1472986870208796,0.6472986870208796
3,1,268.71,100.66,0.0,2.0,250.0,4.4,0.052,False,True,False,False,False,False,False,0.050693114315518116,0.5506931143155182
4,1,579.08,105.0,0.0,1.0,250.0,1.0,0.0494,False,False,False,False,False,False,True,0.04821857227047433,0.5482185722704743
18,1,13543.96,831.72,0.0,2.0,360.0,3.0,0.1358,False,False,False,False,False,False,True,0.12733724846119512,0.6273372484611951
5,0,535.36,59.89,0.0,1.0,50.0,3.3,0.0399,False,False,False,False,False,False,True,0.03912455468405003,0.5391245546840501
6,1,14106.0,3062.57,0.0,2.0,20.0,3.1,0.122,False,False,False,False,False,False,True,0.11511280710050457,0.6151128071005045
2,1,199.14,109.49,0.0,2.0,20.0,3.5,0.048,False,False,False,False,False,False,True,0.046883585898850416,0.5468835858988504
4,1,459.26,0.0,0.0,2.0,50.0,4.2,0.0763,False,False,False,False,False,False,True,0.0735292332881155,0.5735292332881154
1,3,3459.42,6.6,0.0,2.0,70.0,1.0,0.0607,False,False,False,False,False,False,True,0.05892906752928749,0.5589290675292875
5,0,760.08,165.24,0.0,2.0,340.0,1.9,0.0876,False,False,False,False,False,False,True,0.0839734337761786,0.5839734337761786
4,0,494.07,155.62,0.0,1.0,180.0,3.0,0.0634,False,False,False,False,False,False,True,0.06147132208810105,0.561471322088101
4,1,1956.48,88.53,0.0,1.0,180.0,1.0,0.1202,False,False,False,False,False,False,True,0.11350724079359488,0.6135072407935949
2,0,179.34,98.74,0.0,2.0,180.0,1.5,0.0762,False,True,False,False,False,False,False,0.07343631807318222,0.5734363180731822
2,0,249.68,124.84,0.0,2.0,250.0,6.6,0.0859,False,False,False,False,False,False,True,0.08240913624071772,0.5824091362407178
15,0,6155.34,569.74,0.0,2.0,270.0,4.3,0.1043,False,False,False,False,False,False,True,0.09921165007094808,0.5992116500709481
2,0,162.18,75.7,0.0,1.0,270.0,1.4,0.0485,False,False,False,False,False,False,True,0.04736057135983759,0.5473605713598376
3,1,329.15,13.0,0.0,1.0,340.0,4.3,0.1268,False,False,False,False,False,False,True,0.11938175702008047,0.6193817570200805
0,2,7721.0,7721.0,0.0,2.0,20.0,2.0,0.028,False,False,False,False,False,False,True,0.027615167032973367,0.5276151670329734
2,1,195.6,150.64,0.0,2.0,50.0,1.4,0.0508,False,True,False,False,False,False,False,0.04955177882924775,0.5495517788292478
8,2,21035.55,2269.22,0.0,2.0,50.0,2.0,0.0678,False,False,False,False,False,False,True,0.0656004570839488,0.5656004570839488
5,0,413.53,139.74,0.0,3.0,50.0,1.0,0.0864,False,False,False,False,False,False,True,0.08286947782229463,0.5828694778222946
3,1,306.49,67.63,0.0,3.0,110.0,3.1,0.0854,False,False,False,False,False,False,True,0.08194858264716741,0.5819485826471674
5,2,3974384.0,725.96,0.0,1.0,110.0,1.4,0.0882,False,False,False,False,False,False,True,0.08452495506968791,0.5845249550696879
7,3,9999.44,1002.32,1.0,3.0,70.0,1.7,0.0634,False,False,False,False,False,False,True,0.06147132208810105,0.561471322088101
3,1,1176.0,295.0,0.0,3.0,70.0,2.3,0.0369,False,True,False,False,False,False,False,0.03623549258209543,0.5362354925820955
2,1,189.36,63.12,0.0,2.0,70.0,3.1,0.0684,False,True,False,False,False,False,False,0.06616220225366876,0.5661622022536688
4,1,429.6,95.62,0.0,1.0,360.0,1.5,0.0232,False,False,False,False,False,False,True,0.022934971282495883,0.5229349712824959
5,1,713.83,133.52,0.0,2.0,270.0,4.0,0.1031,False,False,False,False,False,False,True,0.09812439799319896,0.5981243979931989
7,1,816.52,139.27,0.0,3.0,270.0,5.2,0.0786,False,False,False,False,False,False,True,0.0756639039209896,0.5756639039209897
1,0,49.55,49.55,0.0,3.0,250.0,2.6,0.1043,False,True,False,False,False,False,False,0.09921165007094808,0.5992116500709481
4,0,297.24,87.28,0.0,3.0,250.0,3.2,0.0881,False,False,False,False,False,False,True,0.08443305597482931,0.5844330559748293
3,0,2446.0,815.33,0.0,4.0,290.0,0.7,0.0508,False,False,False,False,False,False,True,0.04955177882924775,0.5495517788292478
2,1,304.38,101.46,0.0,3.0,290.0,3.4,0.0757,False,True,False,False,False,False,False,0.0729716124558227,0.5729716124558227
2,1,240.74,136.97,0.0,3.0,290.0,4.2,0.0996,False,False,False,False,False,False,True,0.09494647730895359,0.5949464773089536
4,1,425.47,108.14,0.0,3.0,270.0,1.6,0.123,False,False,False,False,False,False,True,0.11600367575630613,0.6160036757563061
4,1,568.57,125.97,0.0,3.0,270.0,0.6,0.0789,False,True,False,False,False,False,False,0.07594200357515736,0.5759420035751573
3,1,205.8,60.12,0.0,2.0,320.0,2.3,0.1308,False,True,False,False,False,False,False,0.12292534683729822,0.6229253468372982
4,1,897.8,197.94,0.0,1.0,270.0,1.5,0.067,False,False,False,False,False,False,True,0.06485097231961633,0.5648509723196163
10,2,2160.94,301.48,0.0,2.0,320.0,3.6,0.0584,False,False,False,False,False,False,True,0.056758333818608876,0.5567583338186088
4,1,829.0,152.0,0.0,2.0,360.0,3.0,0.0651,False,False,False,False,False,False,True,0.06306869146698299,0.563068691466983
2,1,159.6,53.62,0.0,2.0,360.0,5.6,0.1347,False,False,False,False,False,False,True,0.12636829881480666,0.6263682988148067
5,0,627.85,160.54,0.0,2.0,20.0,1.7,0.0609,False,False,False,False,False,False,True,0.05911760448308881,0.5591176044830888
4,1,302.2,70.67,0.0,2.0,20.0,3.0,0.0587,False,False,False,False,False,False,True,0.05704174036719702,0.557041740367197
11,1,1550.05,70.47,0.0,2.0,50.0,2.3,0.039,False,False,False,False,False,False,True,0.038258712117090345,0.5382587121170903
5,1,1132.34,180.93,0.0,2.0,70.0,2.4,0.0855,False,False,False,False,False,False,True,0.08204071033620948,0.5820407103362095
22,0,10921.98,602.85,0.0,1.0,70.0,1.9,0.0886,False,False,False,False,False,False,True,0.0848924670179626,0.5848924670179626
2,1,240.84,50.53,0.0,1.0,230.0,1.0,0.0679,False,False,False,False,False,False,True,0.06569410319536245,0.5656941031953624
13,0,3321.26,339.89,0.0,1.0,230.0,2.6,0.0463,False,False,False,False,False,False,True,0.04526013140486457,0.5452601314048646
2,1,196.58,81.22,0.0,1.0,230.0,4.8,0.0652,False,True,False,False,False,False,False,0.06316257495764012,0.5631625749576401
3,1,2865.3,704.07,0.0,1.0,110.0,1.7,0.0773,False,False,False,False,False,False,True,0.0744579109180098,0.5744579109180098
1,0,130.0,130.0,0.0,3.0,50.0,1.3,0.1436,False,True,False,False,False,False,False,0.1341811814660197,0.6341811814660197
10,2,4414.25,594.28,0.0,3.0,50.0,2.4,0.0527,False,False,False,False,False,False,True,0.05135829227514207,0.5513582922751421
3,1,7754.85,2584.0,0.0,3.0,50.0,3.7,0.0736,False,False,False,False,False,False,True,0.07101748723528029,0.5710174872352802
3,1,752.6,230.9,0.0,3.0,50.0,2.7,0.0569,False,False,False,False,False,False,True,0.055340095033164595,0.5553400950331646
4,0,521.48,143.43,0.0,3.0,50.0,3.0,0.068,False,False,False,False,False,False,True,0.0657877405380031,0.5657877405380031
4,1,569.87,49.52,0.0,2.0,50.0,1.2,0.0316,False,False,False,False,False,False,True,0.031110995025052664,0.5311109950250527
2,1,239.94,78.66,0.0,2.0,20.0,2.4,0.1199,False,False,False,False,False,False,True,0.1132393956065108,0.6132393956065108
8,1,1796.75,226.25,0.0,2.0,20.0,1.5,0.1825,False,False,False,False,False,False,True,0.16763084138395098,0.667630841383951
3,1,481.05,105.3,0.0,1.0,50.0,5.1,0.1474,False,False,False,False,False,False,True,0.13749851318563364,0.6374985131856337
0,4,25473.22,19643.84,0.0,4.0,290.0,5.5,0.0723,False,False,False,False,False,False,True,0.06980587424396291,0.5698058742439629
6,1,1690.52,260.61,0.0,4.0,290.0,2.4,0.1186,False,False,False,False,False,False,True,0.11207790340535054,0.6120779034053505
5,1,599.18,131.0,0.0,3.0,290.0,5.2,0.0534,False,False,False,False,False,False,True,0.052023028067151915,0.5520230280671519
6,0,489.4,138.94,0.0,3.0,290.0,2.5,0.0589,False,False,False,False,False,False,True,0.057230633454271714,0.5572306334542717
1,0,38.71,38.71,0.0,1.0,320.0,4.5,0.0646,False,False,False,False,True,False,False,0.06259914175651997,0.5625991417565199
18,4,13913.61,626.57,0.0,3.0,290.0,1.2,0.1074,False,False,False,False,False,False,True,0.10201492540672975,0.6020149254067297
5,1,535.05,123.8,0.0,2.0,270.0,3.0,0.1069,False,False,False,False,False,False,True,0.10156331540944123,0.6015633154094412
2,1,1015.85,333.88,0.0,2.0,250.0,2.0,0.088,False,False,False,False,False,False,True,0.08434114843375087,0.5843411484337508
4,1,733.75,176.11,0.0,2.0,50.0,2.5,0.146,False,False,False,False,False,False,True,0.13627761829254784,0.6362776182925478
15,1,12326.99,11533.95,0.0,2.0,50.0,3.3,0.0416,False,False,False,False,False,False,True,0.04075799247216774,0.5407579924721677
5,0,398.19,35.31,0.0,1.0,70.0,1.9,0.1224,False,False,False,False,False,False,True,0.11546924980611413,0.6154692498061142
4,1,415.44,87.12,0.0,1.0,70.0,4.0,0.0524,False,False,False,False,False,False,True,0.05107327018400062,0.5510732701840007
2,1,122.01,61.98,0.0,1.0,70.0,2.3,0.0431,False,True,False,False,False,False,False,0.04219704869978836,0.5421970486997884
3,1,1227.67,303.8,0.0,1.0,70.0,3.0,0.0438,False,False,False,False,False,False,True,0.042867900227175806,0.5428679002271758
6,2,2000.79,305.1,0.0,1.0,50.0,1.3,0.0592,False,False,False,False,False,False,True,0.05751390620060671,0.5575139062006067
3,1,418.52,124.67,0.0,1.0,50.0,4.7,0.0819,False,False,False,False,False,False,True,0.07871875471139067,0.5787187547113907
5,1,1144.0,180.0,0.0,2.0,200.0,3.5,0.1328,False,False,False,False,False,False,True,0.12469244395731827,0.6246924439573183
4,1,652.22,138.51,0.0,2.0,200.0,1.6,0.1318,False,False,False,False,False,False,True,0.1238092857262864,0.6238092857262864
2,1,131.52,43.84,0.0,2.0,270.0,3.4,0.071,False,True,False,False,False,False,False,0.06859279146561172,0.5685927914656117
5,1,963.42,164.82,0.0,2.0,270.0,1.8,0.1117,False,False,False,False,False,False,True,0.10589037525743224,0.6058903752574323
4,1,438.5,105.04,0.0,2.0,270.0,2.8,0.0837,False,False,False,False,False,False,True,0.08038111194681245,0.5803811119468124
2,1,209.57,104.86,0.0,1.0,250.0,4.6,0.1244,False,True,False,False,False,False,False,0.11724956005023976,0.6172495600502398
8,0,1713.48,324.27,0.0,1.0,250.0,4.7,0.0331,False,False,False,False,False,False,True,0.03256399087326267,0.5325639908732627
4,1,665.3,132.6,0.0,2.0,270.0,1.5,0.0358,False,False,False,False,False,False,True,0.03517407500765403,0.535174075007654
7,3,3233.7,300.0,0.0,1.0,360.0,4.0,0.1576,False,False,False,False,False,False,True,0.14634889633513704,0.646348896335137
4,1,577.0,113.0,0.0,1.0,360.0,3.3,0.0438,False,False,False,False,False,False,True,0.042867900227175806,0.5428679002271758
6,1,2588.15,415.96,0.0,1.0,70.0,0.9,0.087,False,False,False,False,False,False,True,0.08342160813907239,0.5834216081390724
5,0,86.58,86.58,0.0,1.0,70.0,3.6,0.0551,False,False,False,False,False,False,True,0.05363554916590941,0.5536355491659094
4,1,1277.32,254.88,0.0,2.0,180.0,3.5,0.039,False,False,False,False,False,False,True,0.038258712117090345,0.5382587121170903
1,0,9.0,9.0,0.0,3.0,270.0,5.7,0.0825,False,False,False,False,False,False,True,0.07927318089450787,0.5792731808945079
15,1,6297.0,410.38,0.0,2.0,270.0,2.3,0.0571,False,False,False,False,False,False,True,0.055529309792480296,0.5555293097924803
5,0,634.72,140.86,0.0,1.0,250.0,2.8,0.0258,False,False,False,False,False,False,True,0.025472795973031023,0.525472795973031
2,1,187.35,66.11,0.0,2.0,250.0,2.8,0.1307,False,True,False,False,False,False,False,0.1228369099590624,0.6228369099590624
3,1,652.5,165.0,0.0,2.0,20.0,2.4,0.122,False,False,False,False,False,False,True,0.11511280710050457,0.6151128071005045
5,0,659.2,47.16,0.0,2.0,20.0,1.2,0.0331,False,False,False,False,False,False,True,0.03256399087326267,0.5325639908732627
1,0,10.0,10.0,0.0,2.0,20.0,6.5,0.11,True,False,False,False,False,False,False,0.10436001532424277,0.6043600153242428
5,1,981.9,173.91,0.0,3.0,70.0,3.9,0.1248,False,False,False,False,False,False,True,0.1176052420742634,0.6176052420742634
2,0,70.65,17.85,0.0,2.0,70.0,5.2,0.0516,False,False,False,True,False,False,False,0.050312813873589095,0.5503128138735891
5,1,623.16,117.0,0.0,2.0,50.0,2.6,0.0369,False,False,False,False,False,False,True,0.03623549258209543,0.5362354925820955
15,1,6662.49,0.0,0.0,2.0,50.0,1.7,0.0358,False,False,False,False,False,False,True,0.03517407500765403,0.535174075007654
3,1,455.07,36.36,0.0,1.0,70.0,2.9,0.0764,False,False,False,False,False,False,True,0.07362213987061368,0.5736221398706137
