ground_nof,bstory_cnt,totar,bottom_area,time_unit_tmprt,time_unit_ws,time_unit_wd,time_unit_humidity,spt_frstt_dist,strc_etc,strc_brick,strc_block,strc_wood,strc_steel,strc_src,strc_rc,target,target_boxcox
2.1972245773362196,0.0,6.8980079275272566,4.9951154824382185,1.5,1.0,290.0,74,0.5877866649021191,False,False,False,False,False,False,True,0.04941357302617407,-2.0518874561234512
1.3862943611198906,0.6931471805599453,7.044905117129371,5.575949103146316,-1.7,2.0,290.0,75,1.7047480922384253,False,False,False,False,False,False,True,0.06852935246683854,-1.9013061705380074
1.791759469228055,0.6931471805599453,7.966305700826387,6.993162035924006,-0.4,2.0,270.0,66,1.0296194171811581,False,False,False,False,False,False,True,0.25245945617942395,-1.1475720759909969
1.3862943611198906,0.6931471805599453,5.879191304625196,4.466023054577933,3.0,3.0,270.0,45,1.4350845252893227,False,False,False,False,False,False,True,0.1706614344183909,-1.4026806831046676
2.772588722239781,0.0,9.26639929270616,4.105119635390059,3.8,3.0,250.0,38,0.9932517730102833,False,False,False,False,False,False,True,0.9250999689062203,-0.07703144860831923
1.3862943611198906,0.6931471805599453,5.703815807433991,4.439115601658009,3.8,3.0,250.0,38,1.547562508716013,False,False,False,False,False,False,True,0.053664777501716936,-2.015144446115
1.3862943611198906,0.6931471805599453,6.934445894235181,5.325154020501596,3.1,3.0,270.0,37,1.8562979903656263,False,False,False,False,False,False,True,0.10896834836678862,-1.663349665322799
1.0986122886681098,0.6931471805599453,5.627621113690637,4.574710978503383,2.6,4.0,290.0,33,0.6931471805599453,False,True,False,False,False,False,False,0.2074396412211514,-1.2789395978258387
1.3862943611198906,0.0,5.10570302026865,1.791759469228055,1.7,3.0,270.0,29,0.832909122935104,False,False,False,False,False,False,True,0.1385497837489112,-1.5277723715249256
1.6094379124341003,0.6931471805599453,7.026044852992971,5.387655201900231,-1.7,4.0,270.0,44,1.6094379124341003,False,False,False,False,False,False,True,0.09470332397510917,-1.7385389393531216
1.0986122886681098,0.0,5.9417752288206165,5.415967059981408,-1.7,4.0,270.0,44,1.2237754316221157,False,False,False,False,False,False,True,0.13444936281028613,-1.5452211915743137
1.6094379124341003,0.6931471805599453,6.916268934747341,5.54185160750998,-2.2,3.0,270.0,45,1.4816045409242156,False,False,False,False,False,False,True,0.10896834836678862,-1.663349665322799
1.0986122886681098,0.0,5.960283429624408,5.373192901193144,-2.7,4.0,320.0,45,1.791759469228055,False,False,False,False,False,False,True,0.07646311776265785,-1.847787064215813
2.772588722239781,0.6931471805599453,8.60253200378249,6.048718789689543,-5.0,3.0,270.0,49,1.5040773967762742,False,False,False,False,False,False,True,0.17094313492900756,-1.401662314923043
2.5649493574615367,0.6931471805599453,8.326069004908128,6.0138373979597075,-5.6,2.0,270.0,51,0.9555114450274363,False,False,False,False,False,False,True,0.15766556318957567,-1.4510516723892914
1.791759469228055,0.6931471805599453,8.511372282751234,6.643529282566697,-6.7,2.0,340.0,52,1.8082887711792655,False,False,False,False,False,False,True,0.14887182763071288,-1.485452753210978
1.6094379124341003,0.6931471805599453,6.019614590524328,3.9974664872456134,-6.4,3.0,320.0,51,0.6931471805599453,False,False,False,False,False,False,True,0.11469467664398678,-1.6351786352300146
1.0986122886681098,0.6931471805599453,8.325565264381964,7.51379107755212,-6.6,3.0,290.0,52,1.0986122886681098,False,False,False,False,False,False,True,0.171055014353042,-1.4012582011007126
2.5649493574615367,1.0986122886681098,6.927940186141234,4.115290326737563,-4.1,4.0,290.0,44,1.1631508098056809,False,False,False,False,False,False,True,0.14243570817961504,-1.5115795449348917
1.6094379124341003,0.6931471805599453,7.360536449432287,3.4339872044851463,-4.1,4.0,290.0,44,0.9162907318741551,False,False,False,False,False,False,True,0.10732955500343387,-1.6716094901625858
1.0986122886681098,0.0,4.110873864173311,4.110873864173311,-4.1,4.0,290.0,44,0.9555114450274363,False,False,False,False,False,False,True,0.26705289972263746,-1.1086722958683517
1.3862943611198906,0.6931471805599453,5.156004673773317,3.7727609380946383,-2.2,4.0,290.0,35,1.6486586255873816,False,True,False,False,False,False,False,0.22719706128982742,-1.2189645990519022
1.0986122886681098,0.6931471805599453,5.371149525197707,4.281791848878036,-1.4,3.0,250.0,34,1.33500106673234,False,True,False,False,False,False,False,0.0812024454269178,-1.8177198654017104
2.6390573296152584,1.3862943611198906,10.540825731918604,8.352271377302152,-0.7,3.0,270.0,34,1.5686159179138452,False,False,False,False,False,False,True,0.13608410739726984,-1.5382189734853182
1.3862943611198906,0.6931471805599453,5.925378161980122,4.831827556602097,-0.9,3.0,290.0,34,1.6863989535702288,False,False,False,False,False,False,True,0.16618277924985028,-1.4190380231973425
1.791759469228055,0.6931471805599453,6.488642463139346,4.806231714156099,-1.7,2.0,290.0,37,1.33500106673234,False,False,False,False,False,False,True,0.16584768107839618,-1.4202747303160437
2.833213344056216,1.3862943611198906,8.813575308488502,6.196586683824373,-2.7,3.0,270.0,39,1.33500106673234,False,False,False,False,False,False,True,0.9856859403856759,-0.01438816635399122
1.3862943611198906,0.6931471805599453,6.313783525795994,4.986684073273742,-4.4,2.0,290.0,48,0.8754687373538999,False,False,False,False,False,False,True,0.17641606258540113,-1.3821151574284753
1.791759469228055,0.6931471805599453,6.68748260275961,4.884088972769716,-5.8,2.0,270.0,49,0.6418538861723948,False,False,False,False,False,False,True,0.16671060857148437,-1.4170936987233431
1.791759469228055,0.6931471805599453,7.860570785538664,6.0607107198447965,-7.6,1.0,320.0,59,1.547562508716013,False,False,False,False,False,False,True,0.21939662400925156,-1.242172079730181
